,SHIP_NAME,WATER_BODY,CSN,STN_DATE,CODE,DEPTH_FROM,DETECTION,FLAG,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
176186,CCGS LIMNOS,LAKE SUPERIOR,27,2008-05-10 12:50:00,100,0.0,0.0,,1.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.90667,-91.82028
160843,CCGS LIMNOS,LAKE SUPERIOR,17,2011-07-31 05:31:00,100,0.0,0.0,,18.1,TEMP,TEMPERATURE (OF WATER),DEG C,46.90667,-91.81972
51075,CCGS LIMNOS,LAKE SUPERIOR,26,2008-09-21 13:54:00,100,0.0,0.0,,12.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.90722,-91.82111
161051,CCGS LIMNOS,LAKE SUPERIOR,34,2001-08-23 02:42:00,100,0.0,,,19.6,TEMP,TEMPERATURE (OF WATER),DEG C,46.9075,-86.59722
49504,CCGS LIMNOS,LAKE SUPERIOR,31,2001-05-15 07:35:00,100,0.0,,,2.7,TEMP,TEMPERATURE (OF WATER),DEG C,46.90833,-86.59694
34292,CCGS LIMNOS,LAKE SUPERIOR,79,2016-08-16 13:21:00,100,0.0,,,20.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.91111,-86.86667
137726,CCGS LIMNOS,LAKE SUPERIOR,46,2008-09-24 04:29:00,100,0.0,0.0,,14.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.92722,-87.30306
186895,CCGS LIMNOS,LAKE SUPERIOR,32,2001-08-22 18:16:00,100,0.0,,,20.4,TEMP,TEMPERATURE (OF WATER),DEG C,46.93278,-87.305
6341,CCGS LIMNOS,LAKE SUPERIOR,8,2013-05-16 04:58:00,100,0.0,0.0,,2.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.93278,-87.30389
136145,CCGS LIMNOS,LAKE SUPERIOR,10,2016-08-05 09:02:00,100,0.0,,,21.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.93278,-87.30222
286846,CCGS LIMNOS,LAKE SUPERIOR,39,2003-05-22 00:43:00,100,0.0,,,2.4,TEMP,TEMPERATURE (OF WATER),DEG C,46.93306,-87.30583
168150,CCGS LIMNOS,LAKE SUPERIOR,35,2011-05-20 22:21:00,100,0.0,0.0,,2.6,TEMP,TEMPERATURE (OF WATER),DEG C,46.93306,-87.305
175949,CCGS LIMNOS,LAKE SUPERIOR,46,2008-05-12 20:16:00,100,0.0,0.0,,2.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.93333,-87.30528
